position,token_id,token_text,probability
0,2,<bos>,1.3750597869850343e-16
1,99314,Shall,1.693248123046942e-06
2,590, I,0.22993624210357666
3,12711, compare,0.1390501856803894
4,14516, thee,0.773082435131073
5,577, to,0.9325419068336487
6,476, a,0.9630556106567383
7,6186, summer,0.8308113813400269
8,235349,’,0.549005389213562
9,235256,s,0.9997360110282898
10,1744, day,0.9891833066940308
11,235336,?,0.8432862758636475
12,108,"
",0.17335021495819092
13,90670,Thou,0.5223102569580078
14,3096, art,0.9623595476150513
15,978, more,0.9522711634635925
16,13456, lovely,0.4676358997821808
17,578, and,0.9664118885993958
18,978, more,0.9858884215354919
19,91444, temperate,0.9777370095252991
20,235292,:,0.7255628705024719
21,108,"
",0.9730070233345032
22,86941,Rough,0.9938676953315735
23,27626, winds,0.9886490106582642
24,749, do,0.97217857837677
25,29195, shake,0.9980779886245728
26,573, the,0.995914876461029
27,58139, darling,0.9885057210922241
28,45951, buds,0.9839267134666443
29,576, of,0.996482253074646
30,2782, May,0.9804147481918335
31,235269,",",0.9495767951011658
32,108,"
",0.9966155886650085
33,2079,And,0.975756824016571
34,6186, summer,0.9112837910652161
35,235349,’,0.9836734533309937
36,235256,s,0.9997990727424622
37,24118, lease,0.9988459348678589
38,23458, hath,0.9913290739059448
39,832, all,0.9989737272262573
40,1980, too,0.9989218711853027
41,3309, short,0.9821628928184509
42,476, a,0.9996864795684814
43,3209, date,0.9966793060302734
44,235289,;,0.26877328753471375
45,108,"
",0.8828151226043701
46,5393,Some,0.7345044612884521
47,1602,time,0.9118970036506653
48,1980, too,0.9687547087669373
49,5342, hot,0.9840682148933411
50,573, the,0.9754844307899475
51,6312, eye,0.9748358726501465
52,576, of,0.9989238381385803
53,14139, heaven,0.9855706691741943
54,66308, shines,0.9920991659164429
55,235269,",",0.9383180141448975
56,108,"
",0.9962220191955566
57,2079,And,0.9862491488456726
58,3695, often,0.9786795377731323
59,603, is,0.9723569750785828
60,926, his,0.9302634596824646
61,4394, gold,0.996376097202301
62,88443, complexion,0.9834896326065063
63,7675, dim,0.8784939050674438
64,235262,m,0.8832255601882935
65,235303,',0.013540206477046013
66,235258,d,0.9961507320404053
67,235289,;,0.805638313293457
68,108,"
",0.9882912039756775
69,2079,And,0.9961114525794983
70,1535, every,0.999061644077301
71,5694, fair,0.998308539390564
72,774, from,0.9954760670661926
73,5694, fair,0.9991866946220398
74,44195, sometime,0.9638159871101379
75,79278, declines,0.9882631897926331
76,235269,",",0.822898805141449
77,108,"
",0.9990660548210144
78,1818,By,0.9924736022949219
79,7068, chance,0.9947249293327332
80,689, or,0.8413242697715759
81,4460, nature,0.9490886330604553
82,235349,’,0.9223731160163879
83,235256,s,0.9995423555374146
84,11117, changing,0.9828401207923889
85,3205, course,0.9908722043037415
86,3664, unt,0.977319598197937
87,505,ri,0.8128092288970947
88,1961,mm,0.993243396282196
89,235303,',0.5438942313194275
90,235258,d,0.9998041987419128
91,235289,;,0.9045600891113281
92,108,"
",0.9848419427871704
93,1860,But,0.9520312547683716
94,9612, thy,0.9540734887123108
95,28182, eternal,0.9936614036560059
96,6186, summer,0.9866560697555542
97,3213, shall,0.9975608587265015
98,780, not,0.9980968832969666
99,30158, fade,0.9988149404525757
100,235269,",",0.7659326791763306
101,108,"
",0.9937838315963745
102,15387,Nor,0.9943619966506958
103,10225, lose,0.997364342212677
104,17680, possession,0.9963374137878418
105,576, of,0.9881800413131714
106,674, that,0.9875057935714722
107,5694, fair,0.9998482465744019
108,13143, thou,0.9550774693489075
109,5564, ow,0.9964723587036133
110,235349,’,0.36907321214675903
111,490,st,0.9871847033500671
112,235289,;,0.7467631101608276
113,108,"
",0.9906303286552429
114,15387,Nor,0.9933727979660034
115,3213, shall,0.9895134568214417
116,4168, death,0.33106693625450134
117,117245, brag,0.9976550340652466
118,13143, thou,0.9921531081199646
119,35767, wander,0.8398126363754272
120,235349,’,0.9381279945373535
121,490,st,0.9992092847824097
122,575, in,0.9997809529304504
123,926, his,0.9765126705169678
124,22556, shade,0.9994261264801025
125,235269,",",0.9510299563407898
126,108,"
",0.9986820816993713
127,4115,When,0.9961283206939697
128,575, in,0.9967304468154907
129,28182, eternal,0.9691136479377747
130,5453, lines,0.9627166986465454
131,577, to,0.9972472786903381
132,1069, time,0.9456952214241028
133,13143, thou,0.9852825403213501
134,2664, grow,0.9764617085456848
135,235349,’,0.8862705826759338
136,490,st,0.9990692734718323
137,235292,:,0.23790137469768524
138,108,"
",0.9856706261634827
139,140,   ,0.00020388934353832155
140,2339,So,0.9738801121711731
141,1497, long,0.9946774244308472
142,685, as,0.9927381873130798
143,1359, men,0.9935659766197205
144,798, can,0.9995906949043274
145,34981, breathe,0.9609335660934448
146,689, or,0.7087682485580444
147,4628, eyes,0.9986478686332703
148,798, can,0.9950944185256958
149,1443, see,0.9991962313652039
150,235269,",",0.9873412251472473
151,108,"
",0.9982725381851196
152,140,   ,0.49844589829444885
153,2339,So,0.9944602251052856
154,1497, long,0.995071291923523
155,6672, lives,0.9893436431884766
156,736, this,0.9919454455375671
157,235269,",",0.7165104150772095
158,578, and,0.996208667755127
159,736, this,0.9966447353363037
160,6156, gives,0.9670134782791138
161,1913, life,0.9998250603675842
162,577, to,0.9996707439422607
163,14516, thee,0.9982520937919617
164,235265,.,0.9356472492218018
165,256000,<EOF>,1.0358622987149957e-10
